INFO 2025-06-05 20:06:01,384 autoreload Watching for file changes with StatReloader
DEBUG 2025-06-05 20:06:01,899 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\celery\utils\threads.py first seen with mtime 1746756100.9859798
DEBUG 2025-06-05 20:06:01,899 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1744117398.4869611
DEBUG 2025-06-05 20:06:01,899 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1744117398.7607558
DEBUG 2025-06-05 20:06:01,899 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1744117398.639809
DEBUG 2025-06-05 20:06:01,899 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\urls\base.py first seen with mtime 1744117398.772028
DEBUG 2025-06-05 20:06:01,899 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_extensions\templatetags\widont.py first seen with mtime 1747433460.3823495
DEBUG 2025-06-05 20:06:01,899 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\calendar.py first seen with mtime 1707467542.9418118
DEBUG 2025-06-05 20:06:01,904 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_decimal.pyd first seen with mtime 1712538986.3198886
DEBUG 2025-06-05 20:06:01,904 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\colorama\__init__.py first seen with mtime 1746756099.3337257
DEBUG 2025-06-05 20:06:01,904 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\tasks.py first seen with mtime 1696831133.3631692
DEBUG 2025-06-05 20:06:01,907 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\utils\functional.py first seen with mtime 1744117398.793542
DEBUG 2025-06-05 20:06:01,907 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_celery_beat\models.py first seen with mtime 1746895876.4341302
DEBUG 2025-06-05 20:06:01,907 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\proactor_events.py first seen with mtime 1696831133.340333
DEBUG 2025-06-05 20:06:01,907 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\kombu\resource.py first seen with mtime 1746756100.3402276
DEBUG 2025-06-05 20:06:01,907 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1744117398.500132
DEBUG 2025-06-05 20:06:01,910 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1744117398.5021367
DEBUG 2025-06-05 20:06:01,910 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\_encoded_words.py first seen with mtime 1696831134.238963
DEBUG 2025-06-05 20:06:01,910 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\kombu\pools.py first seen with mtime 1746756100.3387227
DEBUG 2025-06-05 20:06:01,910 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1744117398.4788828
DEBUG 2025-06-05 20:06:01,910 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\charset.py first seen with mtime 1696831134.181621
DEBUG 2025-06-05 20:06:01,914 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\utils\version.py first seen with mtime 1744117398.8100708
DEBUG 2025-06-05 20:06:01,915 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1744117398.4961343
DEBUG 2025-06-05 20:06:01,915 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\concurrent\futures\_base.py first seen with mtime 1696831133.6788187
DEBUG 2025-06-05 20:06:01,915 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_extensions\admin\widgets.py first seen with mtime 1747433460.2530143
DEBUG 2025-06-05 20:06:01,915 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\db\models\sql\compiler.py first seen with mtime 1744117398.638807
DEBUG 2025-06-05 20:06:01,915 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1744117395.5354316
DEBUG 2025-06-05 20:06:01,915 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\billiard\__init__.py first seen with mtime 1746756099.398946
DEBUG 2025-06-05 20:06:01,919 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1744117398.5387378
DEBUG 2025-06-05 20:06:01,919 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\kombu\utils\functional.py first seen with mtime 1746756100.400372
DEBUG 2025-06-05 20:06:01,919 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\enum.py first seen with mtime 1712539002.59171
DEBUG 2025-06-05 20:06:01,919 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1744117398.5136497
DEBUG 2025-06-05 20:06:01,923 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\_compiler.py first seen with mtime 1701811952.749492
DEBUG 2025-06-05 20:06:01,923 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1744117398.4859588
DEBUG 2025-06-05 20:06:01,924 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\click\exceptions.py first seen with mtime 1746756100.1205487
DEBUG 2025-06-05 20:06:01,924 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\celery\app\defaults.py first seen with mtime 1746756100.8795137
DEBUG 2025-06-05 20:06:01,924 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1744117398.0159705
DEBUG 2025-06-05 20:06:01,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\policy.py first seen with mtime 1707467542.9583392
DEBUG 2025-06-05 20:06:01,924 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\celery\signals.py first seen with mtime 1746756100.8686068
DEBUG 2025-06-05 20:06:01,924 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\db\migrations\serializer.py first seen with mtime 1744117398.5995245
DEBUG 2025-06-05 20:06:01,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_collections.py first seen with mtime 1696831135.642154
DEBUG 2025-06-05 20:06:01,929 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1744117396.6008413
DEBUG 2025-06-05 20:06:01,929 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1744117398.4678533
DEBUG 2025-06-05 20:06:01,931 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1744117398.4828868
DEBUG 2025-06-05 20:06:01,931 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1744117398.6276958
DEBUG 2025-06-05 20:06:01,931 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\_compat_pickle.py first seen with mtime 1696831141.6236403
DEBUG 2025-06-05 20:06:01,931 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1744117396.3393118
DEBUG 2025-06-05 20:06:01,934 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1744117398.4577684
DEBUG 2025-06-05 20:06:01,934 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\concurrent\__init__.py first seen with mtime 1696831133.703051
DEBUG 2025-06-05 20:06:01,934 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1744117398.4879599
DEBUG 2025-06-05 20:06:01,934 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\tempfile.py first seen with mtime 1707582057.8372626
DEBUG 2025-06-05 20:06:01,934 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\html\entities.py first seen with mtime 1696831134.9039834
DEBUG 2025-06-05 20:06:01,934 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1744117398.497135
DEBUG 2025-06-05 20:06:01,939 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\amqp\channel.py first seen with mtime 1746756100.2308211
DEBUG 2025-06-05 20:06:01,939 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1744117398.497135
DEBUG 2025-06-05 20:06:01,939 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1744117396.60384
DEBUG 2025-06-05 20:06:01,942 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\zoneinfo\__init__.py first seen with mtime 1696831141.6015427
DEBUG 2025-06-05 20:06:01,942 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1744117398.8060741
DEBUG 2025-06-05 20:06:01,942 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\mime\nonmultipart.py first seen with mtime 1696831134.1964226
DEBUG 2025-06-05 20:06:01,944 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1744117394.0299025
DEBUG 2025-06-05 20:06:01,944 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1744117398.753742
DEBUG 2025-06-05 20:06:01,944 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1744117398.6513312
DEBUG 2025-06-05 20:06:01,944 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1744117398.4597676
DEBUG 2025-06-05 20:06:01,944 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1744117394.0400114
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\celery\app\__init__.py first seen with mtime 1746756100.871607
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_extensions\admin\__init__.py first seen with mtime 1747433460.250994
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_extensions\templatetags\syntax_color.py first seen with mtime 1747433460.3813486
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_celery_beat\apps.py first seen with mtime 1746895876.4326124
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\__init__.py first seen with mtime 1696831133.3832874
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\PIL\_deprecate.py first seen with mtime 1744245294.1731758
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\forms\fields.py first seen with mtime 1744117398.6493292
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\amqp\serialization.py first seen with mtime 1746756100.240386
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_bz2.pyd first seen with mtime 1712538986.3078332
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\kombu\connection.py first seen with mtime 1746756100.330951
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_ctypes.pyd first seen with mtime 1712538986.311051
DEBUG 2025-06-05 20:06:01,948 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\linecache.py first seen with mtime 1712539002.7488222
DEBUG 2025-06-05 20:06:01,954 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\parser.py first seen with mtime 1696831134.2333004
DEBUG 2025-06-05 20:06:01,954 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1744117398.4778833
DEBUG 2025-06-05 20:06:01,956 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1744117398.463767
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\kombu\exceptions.py first seen with mtime 1746756100.3329513
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1744117394.0420086
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_extensions\__init__.py first seen with mtime 1747433460.2399733
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1744117395.531071
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\http\cookie.py first seen with mtime 1744117398.726564
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_lzma.pyd first seen with mtime 1712539002.356011
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1744117398.818585
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\template\utils.py first seen with mtime 1744117398.7492373
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1744117394.8405256
DEBUG 2025-06-05 20:06:01,957 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1744117396.336293
DEBUG 2025-06-05 20:06:01,964 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\billiard\util.py first seen with mtime 1746756099.4226594
DEBUG 2025-06-05 20:06:01,964 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\booking\apps.py first seen with mtime 1744117592.6266541
DEBUG 2025-06-05 20:06:01,964 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\urls\utils.py first seen with mtime 1744117398.7755435
